n	k	t	time	moveCount
10000	0	0	5.37297	7631277
10000	1	0	5.27732	7468104
10000	2	0	5.32964	7529967
10100	0	1	5.62208	7778305
10100	1	1	5.54261	7767656
10100	2	1	5.51971	7767804
10200	0	2	5.65316	7805610
10200	1	2	5.7072	7808182
10200	2	2	5.58153	7780816
10300	0	3	5.82351	8103061
10300	1	3	5.7766	8086281
10300	2	3	5.63114	7861486
10400	0	4	5.77055	8035141
10400	1	4	5.92438	8209517
10400	2	4	6.04959	8248116
10500	0	5	5.93707	8203966
10500	1	5	5.93235	8236198
10500	2	5	6.20481	8307170
10600	0	6	6.54861	8488849
10600	1	6	6.3982	8529763
10600	2	6	6.28143	8468393
10700	0	7	6.295	8641218
10700	1	7	6.26945	8681310
10700	2	7	6.16286	8432890
10800	0	8	6.38492	8766637
10800	1	8	6.47168	8867427
10800	2	8	6.30149	8657178
10900	0	9	6.59031	8992036
10900	1	9	6.70375	9016638
10900	2	9	6.60861	8813254
11000	0	10	6.96204	9177667
11000	1	10	6.72411	9137776
11000	2	10	6.89146	9310484
11100	0	11	6.90743	9290743
11100	1	11	6.92451	9275554
11100	2	11	6.82186	9195210
11200	0	12	6.975	9391635
11200	1	12	6.91859	9303932
11200	2	12	7.02093	9471129
11300	0	13	7.18054	9628444
11300	1	13	7.16458	9615183
11300	2	13	7.16888	9577396
11400	0	14	7.10053	9748667
11400	1	14	7.35884	9962998
11400	2	14	7.51505	10014846
11500	0	15	7.96409	9993241
11500	1	15	8.00233	10005164
11500	2	15	7.92486	9912541
11600	0	16	8.16702	10216928
11600	1	16	8.33922	10158411
11600	2	16	8.3189	10369990
11700	0	17	8.19555	10216212
11700	1	17	8.42361	10508466
11700	2	17	8.3608	10452683
11800	0	18	8.34482	10415953
11800	1	18	8.33177	10388296
11800	2	18	8.49801	10569615
11900	0	19	8.73323	10691509
11900	1	19	8.60967	10755055
11900	2	19	8.53466	10576973
12000	0	20	8.96636	11086504
12000	1	20	8.96511	11120829
12000	2	20	8.6684	10756453
12100	0	21	8.80042	10926370
12100	1	21	9.13416	11329748
12100	2	21	9.2954	11164918
12200	0	22	9.24598	11323315
12200	1	22	9.36456	11361840
12200	2	22	9.53855	11267861
12300	0	23	9.5044	11518247
12300	1	23	9.29088	11505329
12300	2	23	9.22641	11445982
12400	0	24	9.37448	11593110
12400	1	24	9.59409	11822565
12400	2	24	9.68441	11743020
12500	0	25	9.52817	11748726
12500	1	25	9.49325	11670847
12500	2	25	9.78447	12042233
12600	0	26	9.65676	11796257
12600	1	26	9.79284	11954988
12600	2	26	10.1462	12317933
12700	0	27	9.79725	11933257
12700	1	27	10.0372	12105025
